"origin","destination","distance","time"
"52.4217521123911, 13.1635022141726","52.5075075, 13.3903737",23439,3307
"52.4217521123911, 13.1635022141726","52.5542753, 13.3785425",28241,3836
"52.4217521123911, 13.1635022141726","52.5063, 13.3840159",20367,3096
"52.4217521123911, 13.1635022141726","52.5206458, 13.2932877",15771,2698
"52.4217521123911, 13.1635022141726","52.5239216, 13.3888786",21914,2876
"52.4217521123911, 13.1635022141726","52.5168416, 13.3816742",21804,3065
"52.4217521123911, 13.1635022141726","52.5040556, 13.3379413",16970,2483
"52.4217521123911, 13.1635022141726","52.5090125, 13.3792937",20923,3065
"52.4217521123911, 13.1635022141726","52.4983661, 13.3605076",19008,2892
"52.4217521123911, 13.1635022141726","52.5478117, 13.3892456",23917,3229
"52.4217521123911, 13.1635022141726","52.5046782, 13.4490212",26735,3325
"52.4217521123911, 13.1635022141726","52.5136642, 13.4727613",29751,3696
"52.4217521123911, 13.1635022141726","52.5016098, 13.381181",20066,2855
"52.4217521123911, 13.1635022141726","52.5214137, 13.4034811",22754,2799
"52.4217521123911, 13.1635022141726","52.5176913, 13.4419715",26023,3927
"52.4217521123911, 13.1635022141726","52.517699, 13.3970326",23390,3299
"52.4217521123911, 13.1635022141726","52.5303108, 13.3186121",20220,3160
"52.4217521123911, 13.1635022141726","52.5146378, 13.3905283",22332,3021
"52.4217521123911, 13.1635022141726","52.5145186, 13.487322",31517,4628
"52.4217521123911, 13.1635022141726","52.5170316, 13.4012274",23355,3300
"52.4217521123911, 13.1635022141726","52.5207714, 13.3889021",21581,2613
"52.4217521123911, 13.1635022141726","52.5027268, 13.4453492",27135,3659
"52.4217521123911, 13.1635022141726","52.5284267, 13.3720175",20718,2655
"52.4217521123911, 13.1635022141726","52.5209131, 13.3871461",21680,2472
"52.4217521123911, 13.1635022141726","52.5304903, 13.3791152",21225,3032
"52.4217521123911, 13.1635022141726","52.4864896, 13.4217418",25592,3562
"52.4217521123911, 13.1635022141726","52.5215057, 13.4069139",23673,2883
"52.4217521123911, 13.1635022141726","52.5174377, 13.3898033",21874,2852
"52.4217521123911, 13.1635022141726","52.5111669, 13.4430356",26499,3592
"52.4217521123911, 13.1635022141726","52.5076615, 13.454537",27080,3595
"52.4217521123911, 13.1635022141726","52.5121441, 13.3083771",15513,2509
"52.4217521123911, 13.1635022141726","52.5087884, 13.378434",20860,3033
"52.4217521123911, 13.1635022141726","52.5019061, 13.3308361",16901,2421
"52.4217521123911, 13.1635022141726","52.5088651, 13.2707514",14632,2823
"52.4217521123911, 13.1635022141726","52.5264743, 13.39691",23406,3317
"52.4217521123911, 13.1635022141726","52.5106807, 13.419484",24936,3424
"52.4217521123911, 13.1635022141726","52.4602228, 13.5056519",35982,4460
"52.4217521123911, 13.1635022141726","52.474199, 13.141735",36391,6228
"52.4217521123911, 13.1635022141726","52.5021802, 13.364582",19395,3205
"52.4217521123911, 13.1635022141726","52.5205791, 13.4089041",23567,2775
"52.4217521123911, 13.1635022141726","52.4986678, 13.3566505",18474,2893
"52.4217521123911, 13.1635022141726","52.520848, 13.4084747",23570,2777
"52.4217521123911, 13.1635022141726","52.49694, 13.4540533",27525,4254
"52.4217521123911, 13.1635022141726","52.4840199, 13.4053429",20763,3958
"52.4217521123911, 13.1635022141726","52.5049039, 13.4431471",27147,3656
"52.4217521123911, 13.1635022141726","52.524042, 13.402083",22759,2796
"52.4217521123911, 13.1635022141726","52.5071871, 13.390676",23401,3277
"52.4217521123911, 13.1635022141726","52.4583565, 13.2889441",12432,3150
"52.4217521123911, 13.1635022141726","52.5112074, 13.4169157",24663,3198
"52.4217521123911, 13.1635022141726","52.440493, 13.3911183",20291,3839
"52.4200898687858, 13.176303161968","52.5075075, 13.3903737",22139,2535
"52.4200898687858, 13.176303161968","52.5542753, 13.3785425",22832,3135
"52.4200898687858, 13.176303161968","52.5063, 13.3840159",19372,2621
"52.4200898687858, 13.176303161968","52.5206458, 13.2932877",16836,2505
"52.4200898687858, 13.176303161968","52.5239216, 13.3888786",20800,2249
"52.4200898687858, 13.176303161968","52.5168416, 13.3816742",20809,2590
